epoch,train_cost,val_best,gap_pct
-1,0.0,53.0439,4.0
0,53.3685,53.1094,4.13
1,53.1507,52.8578,3.64
2,52.3493,52.4428,2.83
3,52.0613,52.3274,2.6
4,52.079,52.2721,2.49
5,52.0737,52.1889,2.33
6,52.0161,52.1989,2.35
7,52.0781,52.1297,2.21
8,52.0397,52.1449,2.24
9,52.1098,52.1406,2.23
