epoch,train_cost,val_best,gap_pct
-1,0.0,4.451,0.0
0,5.7059,4.451,0.0
1,5.6637,4.451,0.0
2,5.2698,4.451,0.0
3,5.3544,4.451,0.0
4,5.4946,4.451,0.0
