epoch,train_cost,val_best,gap_pct
-1,0.0,23.2398,0.79
0,23.6216,23.2865,0.99
1,23.6899,23.2853,0.99
2,23.6348,23.2733,0.93
3,23.5607,23.2385,0.78
4,23.4825,23.1965,0.6
5,23.4556,23.1941,0.59
6,23.4037,23.1839,0.55
7,23.3856,23.1737,0.5
8,23.3827,23.1825,0.54
9,23.422,23.1798,0.53
