epoch,train_cost,val_best,gap_pct
-1,0.0,51.8568,1.68
0,52.262,52.0896,2.13
1,52.1384,51.954,1.87
2,51.7875,51.734,1.44
3,51.7002,51.6769,1.32
4,51.7411,51.631,1.23
5,51.7472,51.6179,1.21
6,51.7196,51.6008,1.18
7,51.7702,51.6211,1.22
8,51.7554,51.6306,1.23
9,51.8091,51.6213,1.22
