epoch,train_cost,val_best,gap_pct
-1,0.0,23.1871,0.56
0,23.6254,23.2123,0.67
1,23.6567,23.2075,0.65
2,23.4426,23.1928,0.59
3,23.4262,23.1802,0.53
4,23.4487,23.1803,0.53
5,23.4624,23.18,0.53
6,23.407,23.1803,0.53
7,23.4074,23.1796,0.53
8,23.4071,23.1853,0.55
9,23.4488,23.1858,0.55
