epoch,train_cost,val_best,gap_pct
-1,0.0,23.2398,0.79
0,23.298,23.1365,0.34
1,23.337,23.1419,0.36
2,23.2938,23.147,0.39
3,23.3335,23.1494,0.4
4,23.3703,23.1475,0.39
5,23.3753,23.1593,0.44
6,23.3201,23.1566,0.43
7,23.3077,23.1524,0.41
8,23.3315,23.1505,0.4
9,23.3372,23.1584,0.44
