epoch,train_cost,val_best,gap_pct
-1,0.0,36.1552,1.21
0,39.1263,36.1448,1.18
1,38.4484,36.1677,1.24
2,39.1678,36.1477,1.19
3,38.1658,36.1494,1.19
4,38.3806,36.148,1.19
5,38.816,36.143,1.18
6,38.0475,36.1659,1.24
7,37.7451,36.1726,1.26
8,38.7596,36.1275,1.13
9,38.4439,36.1505,1.2
