epoch,train_cost,val_best,gap_pct
-1,0.0,35.9151,0.51
0,38.3633,35.7739,0.12
1,38.0743,35.7742,0.11
2,38.636,35.7499,0.05
3,37.7995,35.7686,0.1
4,37.8561,35.7385,0.02
5,38.0978,35.7622,0.08
6,37.4314,35.7622,0.08
7,37.1508,35.7341,0.01
8,38.1265,35.7322,0.01
9,37.8062,35.7285,-0.01
