epoch,train_cost,val_best,gap_pct
-1,0.0,52.0665,2.09
0,52.1134,52.0283,2.01
1,51.9919,51.8809,1.72
2,51.7659,51.7272,1.42
3,51.6954,51.6721,1.32
4,51.7718,51.658,1.29
5,51.7586,51.6614,1.29
6,51.7342,51.6442,1.26
7,51.8022,51.6404,1.25
8,51.7773,51.6522,1.28
9,51.8305,51.6572,1.29
