epoch,train_cost,val_best,gap_pct
-1,0.0,94.3101,11.27
0,97.9383,93.8826,10.76
1,96.2447,93.797,10.67
2,98.3053,93.657,10.51
3,96.4646,93.7415,10.62
4,97.0628,93.8149,10.69
5,97.7708,93.7248,10.58
6,96.4625,93.7077,10.57
7,95.1098,93.6254,10.46
8,97.8333,93.7102,10.55
9,96.8317,93.8467,10.73
