epoch,train_cost,val_best,gap_pct
-1,0.0,91.3133,7.64
0,95.7071,91.3241,7.66
1,93.5598,91.0924,7.39
2,95.7394,91.0468,7.34
3,93.5684,91.0686,7.36
4,93.885,91.0947,7.39
5,94.4351,91.0361,7.33
6,92.8879,91.117,7.42
7,91.6697,91.1375,7.46
8,94.3514,91.1411,7.45
9,93.5759,91.0752,7.37
