problem,tsp
n_node,1000
checkpoint,pretrained/tsp/n1000/tsp_n1000_k32_ants100_H10_miniH100_rho0.1_mne12_ppo_lr5e-06_mh4_hg0_hdants_ha25-25-25-25_anchor1_balanced_anchor_best.pt
dataset,../STAR/survey/NRS/Construction/single-stage/appending/1_BQ/data/TSP_survey_converted.txt
seed,1234

Method,MeanCost,StdCost,Gap%,StdGap%,GapRef,MeanTime,TotalTime,Best
Model(anneal),4322446.5855,17173008.7555,1.95,1.85,opt,6.51+0.36,1484.01+82.00,BEST
Model(anneal)@I1000,4322446.5855,17173008.7555,1.95,1.85,bl,6.24+0.36,1423.32+82.00,
