idx,name,opt,baseline,base,model_anneal,model_no_anneal,mix_anneal,mix_no_anneal,base_I1000,base_time_I1000,model_anneal_I1000,model_anneal_time_I1000,model_no_anneal_I1000,model_no_anneal_time_I1000,mix_anneal_I1000,mix_anneal_time_I1000,mix_no_anneal_I1000,mix_no_anneal_time_I1000,base_I2000,base_time_I2000,model_anneal_I2000,model_anneal_time_I2000,model_no_anneal_I2000,model_no_anneal_time_I2000,mix_anneal_I2000,mix_anneal_time_I2000,mix_no_anneal_I2000,mix_no_anneal_time_I2000,base_I5000,base_time_I5000,model_anneal_I5000,model_anneal_time_I5000,model_no_anneal_I5000,model_no_anneal_time_I5000,mix_anneal_I5000,mix_anneal_time_I5000,mix_no_anneal_I5000,mix_no_anneal_time_I5000,base_I10000,base_time_I10000,model_anneal_I10000,model_anneal_time_I10000,model_no_anneal_I10000,model_no_anneal_time_I10000,mix_anneal_I10000,mix_anneal_time_I10000,mix_no_anneal_I10000,mix_no_anneal_time_I10000
0,X-n101-k25,27.982758620689655,,,28.44799041748047,,,,,,28.44799041748047,1.3021917343139648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X-n106-k14,26.362,,,26.693632125854492,,,,,,26.693632125854492,0.8315145969390869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,X-n110-k13,14.971,,,15.193192481994629,,,,,,15.193192481994629,0.7293004989624023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,X-n115-k10,12.927991886409737,,,12.963715553283691,,,,,,12.963715553283691,1.1568875312805176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,X-n120-k6,13.439516129032258,,,13.869247436523438,,,,,,13.869247436523438,1.100400447845459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,X-n125-k30,56.156723963599596,,,57.909568786621094,,,,,,57.909568786621094,1.0215275287628174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,X-n129-k18,28.997995991983966,,,29.98388671875,,,,,,29.98388671875,0.8310298919677734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,X-n134-k13,12.320541760722348,,,12.498271942138672,,,,,,12.498271942138672,1.2740514278411865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,X-n139-k10,13.699596774193548,,,13.901671409606934,,,,,,13.901671409606934,0.9231348037719727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,X-n143-k7,15.77889447236181,,,16.369338989257812,,,,,,16.369338989257812,1.3205413818359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,X-n148-k46,43.754279959718026,,,45.043128967285156,,,,,,45.043128967285156,1.0528666973114014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,X-n153-k22,21.565040650406505,,,22.387168884277344,,,,,,22.387168884277344,1.2809908390045166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,X-n157-k13,17.560874089490113,,,17.623647689819336,,,,,,17.623647689819336,1.1640355587005615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,X-n162-k11,14.411824668705403,,,14.412413597106934,,,,,,14.412413597106934,1.1483967304229736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,X-n167-k10,20.764646464646464,,,21.546926498413086,,,,,,21.546926498413086,1.2062840461730957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,X-n172-k51,46.96910401647786,,,47.248783111572266,,,,,,47.248783111572266,1.3657479286193848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,X-n176-k26,47.812,,,49.218753814697266,,,,,,49.218753814697266,1.2354397773742676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,X-n181-k23,26.80188679245283,,,26.952590942382812,,,,,,26.952590942382812,0.8847870826721191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,X-n186-k15,24.241967871485944,,,24.506410598754883,,,,,,24.506410598754883,1.1764755249023438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,X-n190-k8,17.031093279839517,,,17.213481903076172,,,,,,17.213481903076172,1.648463487625122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,X-n195-k51,44.269269269269266,,,44.627445220947266,,,,,,44.627445220947266,1.343757152557373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,X-n200-k36,60.08,,,61.63544845581055,,,,,,61.63544845581055,1.2148771286010742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,X-n204-k19,19.584584584584583,,,19.998855590820312,,,,,,19.998855590820312,1.1944007873535156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,X-n209-k16,30.686686686686688,,,31.422807693481445,,,,,,31.422807693481445,1.2686467170715332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,X-n214-k11,15.398581560283688,,,15.893728256225586,,,,,,15.893728256225586,1.7660717964172363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,X-n219-k73,117.595,,,117.73172760009766,,,,,,117.73172760009766,1.0498230457305908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,X-n223-k34,40.47747747747748,,,41.43107223510742,,,,,,41.43107223510742,1.0825514793395996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,X-n228-k23,25.742,,,26.675994873046875,,,,,,26.675994873046875,1.7157542705535889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,X-n233-k16,19.287863590772318,,,19.44454002380371,,,,,,19.44454002380371,1.6511657238006592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,X-n237-k14,27.06906906906907,,,28.63540267944336,,,,,,28.63540267944336,1.4878010749816895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,X-n242-k48,82.751,,,84.05973815917969,,,,,,84.05973815917969,1.2477357387542725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,X-n247-k50,51.91364902506964,,,52.68025588989258,,,,,,52.68025588989258,1.7942020893096924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,X-n251-k28,38.878391959798996,,,39.44380569458008,,,,,,39.44380569458008,1.5203585624694824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,X-n256-k16,18.933668341708543,,,19.11707305908203,,,,,,19.11707305908203,1.5590391159057617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,X-n261-k13,26.584584584584583,,,27.300579071044922,,,,,,27.300579071044922,2.168494701385498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,X-n266-k58,75.70511534603811,,,77.19742584228516,,,,,,77.19742584228516,1.15203857421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,X-n270-k35,35.57560483870968,,,36.410133361816406,,,,,,36.410133361816406,1.2050535678863525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,X-n275-k28,24.25228310502283,,,24.799495697021484,,,,,,24.799495697021484,1.4050812721252441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,X-n280-k17,33.503,,,34.54067611694336,,,,,,34.54067611694336,1.9708387851715088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,X-n284-k15,20.7021494370522,,,21.187721252441406,,,,,,21.187721252441406,2.1795754432678223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,X-n289-k60,95.34168336673346,,,98.15267181396484,,,,,,98.15267181396484,1.916637659072876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,X-n294-k50,47.39798994974874,,,48.46821975708008,,,,,,48.46821975708008,1.6030786037445068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,X-n298-k31,34.26526526526526,,,35.43729019165039,,,,,,35.43729019165039,1.5350735187530518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,X-n303-k21,22.134419551934826,,,22.50476837158203,,,,,,22.50476837158203,1.9848928451538086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,X-n308-k13,25.96285140562249,,,26.22186279296875,,,,,,26.22186279296875,2.3169288635253906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,X-n313-k71,94.4206827309237,,,96.47183227539062,,,,,,96.47183227539062,2.0863919258117676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,X-n317-k53,78.43343343343344,,,93.31353759765625,,,,,,93.31353759765625,1.6029839515686035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,X-n322-k28,29.834,,,30.591556549072266,,,,,,30.591556549072266,1.630540370941162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,X-n327-k20,27.67035175879397,,,28.47388458251953,,,,,,28.47388458251953,1.9072558879852295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,X-n331-k15,31.133133133133132,,,32.578880310058594,,,,,,32.578880310058594,2.1868398189544678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,X-n336-k84,139.25025025025025,,,142.36546325683594,,,,,,142.36546325683594,2.267595052719116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,X-n344-k43,42.1765295887663,,,43.03352355957031,,,,,,43.03352355957031,1.424797534942627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,X-n351-k40,25.896,,,26.588619232177734,,,,,,26.588619232177734,2.0839860439300537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,X-n359-k29,51.505,,,52.82441711425781,,,,,,52.82441711425781,2.1336610317230225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,X-n367-k17,24.82480957562568,,,25.586978912353516,,,,,,25.586978912353516,2.732876777648926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,X-n376-k94,147.86086086086087,,,148.0235595703125,,,,,,148.0235595703125,1.469632625579834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,X-n384-k52,66.07214428857715,,,67.19184112548828,,,,,,67.19184112548828,1.653061866760254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,X-n393-k38,38.52970795568983,,,39.28042221069336,,,,,,39.28042221069336,1.8290956020355225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,X-n401-k29,66.154,,,67.92761993408203,,,,,,67.92761993408203,2.374213457107544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,X-n411-k19,19.99188640973631,,,20.52667236328125,,,,,,20.52667236328125,2.6117334365844727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,X-n420-k130,108.12236710130391,,,110.72563934326172,,,,,,110.72563934326172,2.1330270767211914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,X-n429-k61,65.71184738955823,,,66.95346069335938,,,,,,66.95346069335938,1.5167226791381836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,X-n439-k37,36.500501504513544,,,37.15102767944336,,,,,,37.15102767944336,1.7709152698516846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,X-n449-k29,55.233,,,56.87044906616211,,,,,,56.87044906616211,2.3846397399902344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,X-n459-k26,25.25,,,25.884553909301758,,,,,,25.884553909301758,2.6109812259674072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,X-n469-k138,222.2685370741483,,,228.93026733398438,,,,,,228.93026733398438,2.0359952449798584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
