problem,cvrp
n_node,1000
checkpoint,pretrained/cvrp/n1000/cvrp_n1000_k32_ants100_H10_miniH100_rho0.5_mne12_ppo_lr5e-06_mh4_hg2_hdants_ha85-5-5-5_anchor1_anchored_best.pt
dataset,../STAR/survey/NRS/Construction/single-stage/appending/1_BQ/data/CVRPlib_survey_instances_converted.txt
seed,1234

Method,MeanCost,StdCost,Gap%,StdGap%,GapRef,MeanTime,TotalTime,Best
Model(anneal),76.4072,65.3982,2.92,2.59,opt,3.94+0.09,433.53+10.09,BEST
Model(anneal)@I1000,76.4072,65.3982,-,-,-,3.87+0.09,425.61+10.09,
