run,idx,name,opt,model_anneal,gap_pct
cvrp_full_mh_100-0-0-0,0,X-n101-k25,27.982758620689655,28.44799041748047,1.66256588
cvrp_full_mh_100-0-0-0,1,X-n106-k14,26.362,26.69173240661621,1.25078676
cvrp_full_mh_100-0-0-0,2,X-n110-k13,14.971,15.193192481994629,1.48415257
cvrp_full_mh_100-0-0-0,3,X-n115-k10,12.927991886409737,12.963715553283691,0.27632804
cvrp_full_mh_100-0-0-0,4,X-n120-k6,13.439516129032258,13.869247436523438,3.19752068
cvrp_full_mh_100-0-0-0,5,X-n125-k30,56.156723963599596,57.909568786621094,3.12134451
cvrp_full_mh_100-0-0-0,6,X-n129-k18,28.997995991983966,29.98388671875,3.39985814
cvrp_full_mh_100-0-0-0,7,X-n134-k13,12.320541760722348,12.498271942138672,1.44255167
cvrp_full_mh_100-0-0-0,8,X-n139-k10,13.699596774193548,13.901671409606934,1.47504075
cvrp_full_mh_100-0-0-0,9,X-n143-k7,15.77889447236181,16.369338989257812,3.74198914
cvrp_full_mh_100-0-0-0,10,X-n148-k46,43.754279959718026,45.043128967285156,2.94565242
cvrp_full_mh_100-0-0-0,11,X-n153-k22,21.565040650406505,22.387168884277344,3.81231943
cvrp_full_mh_100-0-0-0,12,X-n157-k13,17.560874089490113,17.623647689819336,0.35746285
cvrp_full_mh_100-0-0-0,13,X-n162-k11,14.411824668705403,14.412413597106934,0.00408642
cvrp_full_mh_100-0-0-0,14,X-n167-k10,20.764646464646464,21.546926498413086,3.76736505
cvrp_full_mh_100-0-0-0,15,X-n172-k51,46.96910401647786,47.248783111572266,0.59545333
cvrp_full_mh_100-0-0-0,16,X-n176-k26,47.812,49.218753814697266,2.94226097
cvrp_full_mh_100-0-0-0,17,X-n181-k23,26.80188679245283,26.952590942382812,0.56228933
cvrp_full_mh_100-0-0-0,18,X-n186-k15,24.241967871485944,24.506410598754883,1.09084679
cvrp_full_mh_100-0-0-0,19,X-n190-k8,17.031093279839517,17.157974243164062,0.74499600
cvrp_full_mh_100-0-0-0,20,X-n195-k51,44.269269269269266,44.627445220947266,0.80908485
cvrp_full_mh_100-0-0-0,21,X-n200-k36,60.08,61.63544845581055,2.58896214
cvrp_full_mh_100-0-0-0,22,X-n204-k19,19.584584584584583,19.998855590820312,2.11529126
