problem,n_node,iteration,outer_step,guidance_mean,guidance_std,enhance,rebellion,suppression,cost,crossover,timestamp
tsp,1000,100,1,33.02388668060303,20.621564865112305,0.060100000351667404,0.060100000351667404,0.23269999399781227,23.697084426879883,True,2026-04-08T12:09:19.393993
tsp,1000,200,2,-5.045164465904236,26.294936180114746,0.14460000023245811,0.0004000000189989805,0.24364999681711197,23.340386867523193,True,2026-04-08T12:09:19.394230
tsp,1000,300,3,-4.97538697719574,26.99846124649048,0.13830000162124634,0.0006000000284984708,0.25234999507665634,23.300750255584717,True,2026-04-08T12:09:19.394273
tsp,1000,400,4,-4.992358088493347,27.187612056732178,0.06529999990016222,0.0004000000189989805,0.27095000445842743,23.2831768989563,True,2026-04-08T12:09:19.394304
tsp,1000,500,5,-5.000288724899292,27.06752872467041,0.03910000156611204,0.0004000000189989805,0.2761499956250191,23.28202772140503,True,2026-04-08T12:09:19.394333
tsp,1000,600,6,-5.025030136108398,27.140952587127686,0.035499999299645424,0.0004500000213738531,0.2783000096678734,23.26064920425415,True,2026-04-08T12:09:19.394361
tsp,1000,700,7,-4.9834665060043335,27.155707359313965,0.03369999956339598,0.0004000000189989805,0.28095000237226486,23.253456115722656,True,2026-04-08T12:09:19.394395
tsp,1000,800,8,-4.987985134124756,27.243028163909912,0.03355000028386712,0.0004500000213738531,0.2797999978065491,23.24758243560791,True,2026-04-08T12:09:19.394423
tsp,1000,900,9,-5.014184236526489,27.137013912200928,0.034399999771267176,0.0004000000189989805,0.2792999967932701,23.244201183319092,True,2026-04-08T12:09:19.394450
tsp,1000,1000,10,-5.001733422279358,27.172025203704834,0.036399999633431435,0.0004000000189989805,0.27790001034736633,23.241262435913086,True,2026-04-08T12:09:19.394477
