problem,n_node,ls_type,time_limit,cost,gap,time,timestamp
tsp,1000,srr_local,0.4,23.2328,0.186,0.3096,2026-04-08T00:36:33.494878
tsp,1000,global_ls,0.4,23.199,0.0398,0.4051,2026-04-08T00:36:42.045103
tsp,1000,truncated_ls,0.4,23.2576,0.2929,0.4041,2026-04-08T00:36:50.578062
