problem,n_node,iteration,outer_step,guidance_mean,guidance_std,enhance,rebellion,suppression,cost,crossover,timestamp
tsp,1000,100,1,33.02388668060303,20.621564865112305,0.060100000351667404,0.060100000351667404,0.23269999399781227,23.697084426879883,True,2026-04-08T12:09:19.393993
tsp,1000,200,2,-5.045164465904236,26.294936180114746,0.14460000023245811,0.0004000000189989805,0.24364999681711197,23.340386867523193,True,2026-04-08T12:09:19.394230
tsp,1000,300,3,-4.97538697719574,26.99846124649048,0.13830000162124634,0.0006000000284984708,0.25234999507665634,23.300750255584717,True,2026-04-08T12:09:19.394273
tsp,1000,400,4,-4.992358088493347,27.187612056732178,0.06529999990016222,0.0004000000189989805,0.27095000445842743,23.2831768989563,True,2026-04-08T12:09:19.394304
tsp,1000,500,5,-5.000288724899292,27.06752872467041,0.03910000156611204,0.0004000000189989805,0.2761499956250191,23.28202772140503,True,2026-04-08T12:09:19.394333
tsp,1000,600,6,-5.025030136108398,27.140952587127686,0.035499999299645424,0.0004500000213738531,0.2783000096678734,23.26064920425415,True,2026-04-08T12:09:19.394361
tsp,1000,700,7,-4.9834665060043335,27.155707359313965,0.03369999956339598,0.0004000000189989805,0.28095000237226486,23.253456115722656,True,2026-04-08T12:09:19.394395
tsp,1000,800,8,-4.987985134124756,27.243028163909912,0.03355000028386712,0.0004500000213738531,0.2797999978065491,23.24758243560791,True,2026-04-08T12:09:19.394423
tsp,1000,900,9,-5.014184236526489,27.137013912200928,0.034399999771267176,0.0004000000189989805,0.2792999967932701,23.244201183319092,True,2026-04-08T12:09:19.394450
tsp,1000,1000,10,-5.001733422279358,27.172025203704834,0.036399999633431435,0.0004000000189989805,0.27790001034736633,23.241262435913086,True,2026-04-08T12:09:19.394477
cvrp,1000,100,1,42.202569007873535,7.4006043672561646,0.14450549706816673,0.14450549706816673,0.14790209755301476,36.57594871520996,True,2026-04-09T11:01:12.619411
cvrp,1000,200,2,0.20867814123630524,1.8308687210083008,0.07902097702026367,0.16448551043868065,0.5365634262561798,36.26434803009033,True,2026-04-09T11:01:12.619588
cvrp,1000,300,3,0.2576783187687397,1.9477525055408478,0.08496503345668316,0.16743256524205208,0.5019980072975159,36.06381320953369,True,2026-04-09T11:01:12.619637
cvrp,1000,400,4,0.14657574985176325,1.7895871698856354,0.0874625388532877,0.16448551416397095,0.4910090044140816,35.95358943939209,True,2026-04-09T11:01:12.619672
cvrp,1000,500,5,0.2811888176947832,2.0604791343212128,0.09190808981657028,0.1634865179657936,0.47317684441804886,35.91135787963867,True,2026-04-09T11:01:12.619703
cvrp,1000,600,6,0.16027480456978083,1.8207775950431824,0.09255744330585003,0.16293706372380257,0.47582416981458664,35.84994983673096,True,2026-04-09T11:01:12.619733
cvrp,1000,700,7,0.06585624814033508,1.6673651784658432,0.0938061960041523,0.15829170495271683,0.4668331742286682,35.80828857421875,True,2026-04-09T11:01:12.619762
cvrp,1000,800,8,0.2149970531463623,1.8016609847545624,0.0895104892551899,0.16203796491026878,0.4802197962999344,35.75642204284668,True,2026-04-09T11:01:12.619792
cvrp,1000,900,9,0.19866755977272987,1.8958110511302948,0.09410589374601841,0.16018980741500854,0.4739260748028755,35.714728355407715,True,2026-04-09T11:01:12.619821
cvrp,1000,1000,10,0.1331812459975481,1.6472262144088745,0.0923076942563057,0.15929070860147476,0.4679320752620697,35.652679443359375,True,2026-04-09T11:01:12.619849
