problem,n_node,capacity,n_routes,guidance_mean,guidance_std,cost,gap,timestamp
cvrp,1000,1.0,20.5,4.27664784360677,12.64344870202527,,,2026-04-09T10:59:05.074282
cvrp,5000,1.0,50.5,-2.55367331574962,7.641408113663683,,,2026-04-09T11:00:55.523803
